unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!pwner1_wh3_ete_unit_pack
10tze		-1	monster	3	false	10tze	4	0	5333	wh_main_shp_transport	1	1	1	5250	1500	heavy		0	true	wh3_main_vo_culture_Tzeentch	wh3_main_tze_lord_of_change	5	true	chs_lord_of_change		false		6000.0000	0.0000	true	vo_culture_None	false	wh3_main_vo_actor_Tzeentch_Lord_Of_Change	0	true	true	0	false	false		800.0000	true	1	false
1wyrm	wh_main_nor_worship_2	-1	monster	3	false	1wyrm	4	0	4267	wh_main_shp_transport	1	1	1	4267	800	very_heavy		0	true	wh_dlc08_vo_culture_Norsca	wh_dlc08_nor_frost_wyrm	5	true	nor_frost_wyrm		false		3000.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	true	false	0	false	false		0.0000	true	1	false
2mammoth		-1	monster	3	false	2mammoth	8	0	7200	wh_main_shp_transport	1	1	1	7200	1700	super_heavy		0	true	wh_dlc08_vo_culture_Norsca	nor_mammoth	5	true	nor_war_mammoth		false		3000.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	true	false	0	false	false		0.0000	true	1	false
3dae		-1	missile_infantry	3	false	3dae	4	0	4500	wh_main_shp_transport	1	1	1	4500	1250	very_heavy		0	true	wh3_main_vo_culture_Nur_Soul_Grinder	wh3_main_soul_grinder_missile	4	true	nur_soul_grinder		false		1000.0000	800.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	2	false	false		0.0000	true	1	false
3manticore_kho		-1	monster	2	false	3manticore_kho	4	0	3850	wh_main_shp_transport	1	1	60	3850	700	heavy		0	true	wh3_main_vo_culture_Khorne	cavalry_axe	4	true	wh3_dlc25_nur_chaos_sorcerer_lord_rot_beast	wh3_dlc26_com_mnt_kho_flesh_hound	false		3000.0000	0.0000	true	vo_culture_None	false	wh3_dlc20_vo_actor_Chaos_Warrior	0	true	false	0	false	false		0.0000	true	1	false
3manticore_nur		-1	monster	2	false	3manticore_nur	4	0	3850	wh_main_shp_transport	1	1	60	3850	700	heavy		0	true	wh3_main_vo_culture_Nurgle	nur_rot_knights	4	true	wh3_dlc_25_nur_cav_rot_knights		false		3000.0000	0.0000	true	vo_culture_None	false	wh3_dlc20_vo_actor_Chaos_Warrior	0	true	false	0	false	false		0.0000	true	1	false
3manticore_sla		-1	monster	2	false	3manticore_sla	4	0	3850	wh_main_shp_transport	1	1	60	3850	700	heavy		0	true	wh3_main_vo_culture_Slaanesh	wh3_dlc27_pleasureseekers	4	true	wh3_dlc27_chaos_lord_slaanesh_daemonic_steed	wh3_dlc27_cam_mnt_sla_daemonic_steed_lord	false		3000.0000	0.0000	true	vo_culture_None	false	wh3_dlc20_vo_actor_Chaos_Warrior	0	true	false	0	false	false		0.0000	true	1	false
3manticore_tze		-1	monster	2	false	3manticore_tze	4	0	3850	wh_main_shp_transport	1	1	60	3850	700	heavy		0	true	wh3_main_vo_culture_Tzeentch	cavalry_disc	4	true	emp_reiksguard		false		3000.0000	0.0000	true	vo_culture_None	false	wh3_dlc20_vo_actor_Chaos_Warrior	0	true	false	0	false	false		0.0000	true	1	false
4dragon		-1	monster	3	false	4dragon	4	0	7733	wh_main_shp_transport	1	1	1	7733	1700	heavy		0	true	wh_main_vo_culture_Chaos	dragon	5	true	hef_dragon		false		3000.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_Chaos_Infantry	0	true	false	0	false	false		0.0000	true	1	false
